state,allVeteransPer100kAdults,allVeteransPctAdults,allVeterans
Alaska,12727.39330954169,12.72739330954169,71006
Virginia,10030.546575333245,10.030546575333245,685503
Wyoming,9998.503876719442,9.998503876719441,45444
Montana,9869.243090147698,9.869243090147698,88543
Hawaii,9754.057072775455,9.754057072775455,111345
Maine,9316.804311615373,9.316804311615373,106833
South Carolina,9230.464037770307,9.230464037770307,390389
New Mexico,9224.761639038281,9.224761639038281,153410
South Dakota,9190.874939061112,9.19087493906111,64099
Oklahoma,9150.05326804044,9.15005326804044,282482
West Virginia,8739.867645513412,8.739867645513412,123919
Alabama,8623.204583234028,8.623204583234028,342999
Arkansas,8597.558807242973,8.597558807242974,203085
Nevada,8319.844351771375,8.319844351771376,208680
Washington,8270.473866996712,8.270473866996712,509859
Idaho,8166.509058464629,8.166509058464628,122284
Missouri,8120.707155132042,8.120707155132042,391555
North Carolina,8106.173669246304,8.106173669246305,688933
North Dakota,8095.068024940252,8.095068024940252,48505
Arizona,8094.218671718838,8.094218671718838,473375
New Hampshire,8077.537121610012,8.077537121610012,92892
Mississippi,8072.919432319821,8.072919432319821,182437
Kansas,8070.130606724485,8.070130606724485,181272
Nebraska,8041.974621021637,8.041974621021637,120419
Colorado,7894.37790777722,7.89437790777722,368109
Tennessee,7823.3386929351345,7.823338692935135,434646
Oregon,7812.871156727212,7.812871156727212,265757
Georgia,7801.394633513557,7.801394633513557,662381
Florida,7750.806738584115,7.7508067385841155,1412963
Delaware,7731.06230608621,7.73106230608621,63391
Maryland,7473.491372645791,7.473491372645791,360098
Kentucky,7470.551475396943,7.470551475396943,262161
Louisiana,7339.930416928079,7.339930416928079,257382
Iowa,7333.211675001069,7.33321167500107,181635
Ohio,7267.63883327409,7.2676388332740895,669181
Vermont,7242.862612325178,7.242862612325178,38592
Indiana,7040.168191327113,7.040168191327114,371365
Wisconsin,7018.601723873864,7.018601723873864,327195
Grand Total,6969.917022557057,6.969917022557056,18266970
Texas,6705.66732641228,6.70566732641228,1538426
Minnesota,6664.5090434238955,6.664509043423895,295703
Pennsylvania,6660.422399691542,6.660422399691542,688200
Illinois,6310.630447451775,6.310630447451775,621229
Michigan,6305.513321178244,6.3055133211782435,499734
Rhode Island,6165.510624083648,6.165510624083648,55004
Connecticut,5258.707963195229,5.258707963195229,152197
Utah,5223.534582477053,5.223534582477052,129783
District of Columbia,5053.76733408161,5.05376733408161,27916
Massachusetts,4840.16709313983,4.840167093139831,273934
California,4832.755582950769,4.832755582950769,1474934
New York,4243.103780925981,4.24310378092598,662404
New Jersey,4225.106039364328,4.225106039364328,307611
