state,koreanWarPer100kAdults,koreanWarPctAdults,koreanWar
Hawaii,373.27259586956046,0.37327259586956046,4261
Montana,360.58187995242776,0.36058187995242774,3235
Maine,315.6095476466638,0.3156095476466638,3619
Arkansas,308.5358770327045,0.30853587703270446,7288
Florida,294.8181291125127,0.2948181291125127,53745
Idaho,289.70524594893493,0.28970524594893493,4338
Rhode Island,283.480771731284,0.283480771731284,2529
Oregon,283.37264899774453,0.2833726489977445,9639
Nebraska,281.6918339420629,0.2816918339420629,4218
Pennsylvania,270.0558364443371,0.2700558364443371,27904
Iowa,268.2808466450965,0.2682808466450965,6645
West Virginia,266.5991470237873,0.2665991470237873,3780
New Mexico,251.0486920212817,0.2510486920212817,4175
South Dakota,246.47988299733302,0.24647988299733303,1719
Wisconsin,243.5311828455202,0.2435311828455202,11353
Minnesota,240.72674640707274,0.24072674640707276,10681
Arizona,235.23034859643212,0.23523034859643213,13757
Vermont,233.84656962471942,0.23384656962471942,1246
South Carolina,232.61235640241986,0.23261235640241987,9838
Missouri,230.832119719119,0.230832119719119,11130
Connecticut,228.69956706366895,0.22869956706366895,6619
Delaware,226.842546880793,0.226842546880793,1860
Michigan,225.25188162037009,0.22525188162037008,17852
Maryland,216.34020202405935,0.21634020202405935,10424
Ohio,215.27678901994977,0.2152767890199498,19822
Grand Total,209.64729826807482,0.20964729826807482,549450
New Jersey,207.29200303658337,0.20729200303658338,15092
Oklahoma,205.20099494139868,0.20520099494139868,6335
Kansas,203.6319861597919,0.2036319861597919,4574
Washington,203.44503723553524,0.20344503723553525,12542
Virginia,200.99049567803124,0.20099049567803123,13736
Alaska,199.49847553051717,0.19949847553051717,1113
New York,198.97756164954276,0.19897756164954278,31063
North Carolina,197.62631917568316,0.19762631917568316,16796
Massachusetts,192.20446399196553,0.19220446399196553,10878
Illinois,191.65664296430566,0.19165664296430565,18867
North Dakota,187.75284049186237,0.18775284049186236,1125
Nevada,185.70938753378888,0.1857093875337889,4658
Indiana,183.39527710715467,0.18339527710715467,9674
Colorado,182.50343239416625,0.18250343239416625,8510
Mississippi,182.0463532318759,0.1820463532318759,4114
Alabama,178.0960914394207,0.17809609143942068,7084
Kentucky,176.87494710421774,0.17687494710421772,6207
California,174.291709136748,0.17429170913674802,53193
New Hampshire,173.5646136883002,0.1735646136883002,1996
Louisiana,170.87777334169851,0.1708777733416985,5992
Tennessee,169.64372657499126,0.16964372657499127,9425
Georgia,164.70083313841064,0.16470083313841066,13984
Utah,148.27443811474123,0.14827443811474122,3684
Wyoming,139.49149409911377,0.13949149409911377,634
District of Columbia,133.06057424236937,0.1330605742423694,735
Texas,127.89981211895507,0.12789981211895507,29343
