state,peacetimeVeteransPer100kAdults,peacetimeVeteransPctAdults,peacetimeVeterans
Alaska,10480.750099928482,10.480750099928482,58472
Virginia,8476.835611254883,8.476835611254883,579320
Wyoming,8073.125225518584,8.073125225518583,36693
Hawaii,8050.721622391099,8.0507216223911,91901
Montana,7870.7166272274435,7.870716627227443,70613
Oklahoma,7450.95015996608,7.45095015996608,230027
South Carolina,7384.910319637466,7.384910319637466,312334
South Dakota,7372.8886467265065,7.372888646726507,51420
New Mexico,7343.670325864208,7.343670325864209,122127
Maine,7153.147810616829,7.153147810616829,82023
Alabama,6917.4895188790915,6.9174895188790915,275152
West Virginia,6837.069130287285,6.837069130287285,96940
North Dakota,6722.886820918838,6.722886820918837,40283
Arkansas,6694.483439480739,6.694483439480739,158132
Washington,6680.530300203899,6.680530300203899,411842
North Carolina,6574.263772540061,6.574263772540061,558738
Colorado,6478.3142601877025,6.478314260187703,302079
Nevada,6463.388379009815,6.463388379009816,162116
Idaho,6453.588391488088,6.453588391488088,96635
Kansas,6446.28349365531,6.44628349365531,144797
Arizona,6419.068072656887,6.419068072656888,375407
Mississippi,6393.7033378999795,6.3937033378999795,144489
Missouri,6347.509978874609,6.3475099788746085,306057
Nebraska,6209.441685182329,6.209441685182329,92979
Georgia,6187.905936791344,6.187905936791345,525387
Tennessee,6142.164862743376,6.142164862743376,341244
Florida,6031.130314988856,6.031130314988856,1099468
New Hampshire,6002.066079770158,6.002066079770158,69024
Oregon,5993.07134911134,5.99307134911134,203856
Maryland,5952.323384603444,5.952323384603443,286803
Louisiana,5867.335880910284,5.867335880910283,205744
Delaware,5812.291451206899,5.8122914512068995,47658
Kentucky,5798.175626250442,5.798175626250442,203473
Iowa,5648.472555414429,5.648472555414428,139906
Texas,5541.06986189976,5.541069861899761,1271242
Ohio,5540.396110595057,5.540396110595056,510142
Grand Total,5502.189813629829,5.502189813629829,14420306
Indiana,5353.060553237996,5.353060553237996,282371
Wisconsin,5352.40912037472,5.352409120374721,249520
Vermont,5335.492879503329,5.335492879503329,28429
Illinois,5126.558702224373,5.126558702224373,504667
Pennsylvania,5013.3082633563145,5.013308263356315,518009
Minnesota,5009.6225338805825,5.009622533880583,222276
Rhode Island,4832.175796189767,4.832175796189767,43109
Michigan,4742.591809825433,4.742591809825433,375867
Utah,4415.471093326765,4.415471093326765,109706
District of Columbia,4013.1793330678156,4.013179333067816,22168
Connecticut,3886.786976667047,3.886786976667047,112491
California,3831.036159017421,3.831036159017421,1169214
Massachusetts,3553.3089099261115,3.5533089099261117,201103
New Jersey,3219.110751370329,3.219110751370329,234369
New York,3170.7977320029813,3.170797732002981,495003
