state,vietnamWarPer100kAdults,vietnamWarPctAdults,vietnamWar
Maine,3340.9786599457557,3.3409786599457556,38310
Montana,3116.608947557908,3.1166089475579075,27961
Wyoming,3096.5351544967307,3.096535154496731,14074
New Mexico,2915.8328442644247,2.9158328442644246,48491
West Virginia,2774.394350919238,2.774394350919238,39337
Oregon,2769.5494495415,2.7695494495415,94207
South Dakota,2756.301798055691,2.756301798055691,19223
Alaska,2744.2243130028914,2.744224313002891,15310
Arizona,2707.807896640226,2.707807896640226,158361
South Carolina,2661.3993531872716,2.6613993531872717,112560
Oklahoma,2643.934650528291,2.643934650528291,81624
New Hampshire,2613.29525810345,2.61329525810345,30053
Arkansas,2581.9135659262597,2.5819135659262598,60988
Delaware,2552.344527484536,2.5523445274845358,20928
Nevada,2550.1351556083596,2.5501351556083596,63963
Washington,2532.43814489011,2.53243814489011,156120
Missouri,2498.8562092181032,2.4988562092181033,120487
Idaho,2494.817628610964,2.494817628610964,37357
Iowa,2422.7637812378625,2.4227637812378626,60009
Florida,2410.7121257991616,2.4107121257991615,439470
Hawaii,2410.372089967368,2.410372089967368,27515
Virginia,2405.286740685094,2.4052867406850944,164381
Alabama,2401.4814859509233,2.4014814859509235,95522
Tennessee,2380.915953728031,2.380915953728031,132278
Wisconsin,2374.0053790081397,2.3740053790081395,110672
Kansas,2372.3081868160975,2.3723081868160976,53287
Nebraska,2336.8134095464015,2.3368134095464015,34991
North Carolina,2323.4976705132967,2.3234976705132966,197471
Ohio,2302.7079239604413,2.3027079239604413,212026
Vermont,2266.2097337227024,2.2662097337227025,12075
Minnesota,2265.256488589877,2.265256488589877,100509
Pennsylvania,2196.7006036576386,2.1967006036576384,226978
Michigan,2157.822682909903,2.157822682909903,171015
Kentucky,2145.3531927965423,2.145353192796542,75286
Indiana,2130.31605068868,2.13031605068868,112373
Colorado,2096.344655694729,2.096344655694729,97751
North Dakota,2072.4575762026193,2.0724575762026194,12418
Mississippi,2070.9210819766145,2.0709210819766146,46800
Grand Total,2053.4431084157854,2.053443108415786,5381726
Louisiana,2033.907488735527,2.0339074887355273,71321
Georgia,2019.6345441153019,2.0196345441153016,171478
Maryland,1939.7148850319102,1.9397148850319104,93462
Rhode Island,1827.8849128596473,1.8278849128596473,16307
Texas,1718.8997242458606,1.7188997242458606,394353
Illinois,1629.7773087352134,1.6297773087352134,160438
Utah,1546.7390490633836,1.5467390490633837,38430
Connecticut,1546.4084942591883,1.5464084942591882,44756
Massachusetts,1536.9996243549454,1.5369996243549453,86988
California,1431.1625567947915,1.4311625567947914,436784
New Jersey,1377.2171913911461,1.377217191391146,100269
New York,1284.60728594939,1.28460728594939,200544
District of Columbia,1235.9245446974908,1.235924544697491,6827
