state,wartimeVeteransPer100kAdults,wartimeVeteransPctAdults,wartimeVeterans
Alaska,2246.64320961321,2.2466432096132096,12534
Maine,2163.6565009985434,2.1636565009985436,24810
New Hampshire,2075.4710418398545,2.0754710418398545,23868
Montana,1998.526462920256,1.9985264629202562,17930
Wyoming,1925.378651200859,1.925378651200859,8751
Delaware,1918.7708548793098,1.9187708548793099,15733
Vermont,1907.3697328218489,1.9073697328218489,10163
Arkansas,1903.0753677622345,1.9030753677622345,44953
West Virginia,1902.798515226126,1.902798515226126,26979
New Mexico,1881.0311817508345,1.8810311817508345,31282
Nevada,1856.4559727615601,1.8564559727615602,46564
South Carolina,1845.5537181328402,1.84555371813284,78055
Nebraska,1832.5329358393087,1.8325329358393088,27440
Oregon,1819.7998076158715,1.8197998076158715,61901
South Dakota,1817.9862923346047,1.8179862923346046,12679
Missouri,1773.1971762574335,1.7731971762574337,85498
Ohio,1727.242722679033,1.727242722679033,159039
Florida,1719.6764235952583,1.7196764235952584,313495
Idaho,1712.9206669765404,1.7129206669765404,25649
Alabama,1705.715064354937,1.705715064354937,67847
Hawaii,1703.3354503843543,1.7033354503843543,19444
Oklahoma,1699.1031080743596,1.6991031080743597,52455
Indiana,1687.1076380891175,1.6871076380891175,88994
Iowa,1684.7391195866417,1.6847391195866417,41729
Tennessee,1681.1738301917594,1.6811738301917596,93402
Mississippi,1679.1718439693716,1.6791718439693717,37947
Arizona,1675.1505990619514,1.6751505990619513,97968
Kentucky,1672.3758491465005,1.6723758491465006,58688
Wisconsin,1666.1926034991438,1.6661926034991437,77675
Minnesota,1654.86397169607,1.65486397169607,73426
Pennsylvania,1647.1238143683563,1.6471238143683564,170192
Kansas,1623.8471130691757,1.6238471130691756,36475
Georgia,1613.5004745277865,1.6135004745277866,136995
Washington,1589.9435667928126,1.5899435667928126,98017
Michigan,1562.921511352811,1.562921511352811,123867
Virginia,1553.7109640783628,1.553710964078363,106183
North Carolina,1531.9098967062437,1.5319098967062437,130195
Maryland,1521.1679880423474,1.5211679880423474,73295
Louisiana,1472.594536017795,1.472594536017795,51638
Grand Total,1467.7272089272287,1.4677272089272286,3846664
Colorado,1416.0636475895178,1.4160636475895179,66030
North Dakota,1372.1812040214154,1.3721812040214154,8222
Connecticut,1371.9209865281823,1.3719209865281823,39706
Rhode Island,1333.3348278938802,1.3333348278938804,11895
Massachusetts,1286.8405141142532,1.2868405141142534,72830
Illinois,1184.071745227402,1.184071745227402,116562
Texas,1164.5974645125204,1.1645974645125206,267184
New York,1072.3060489229986,1.0723060489229985,167401
District of Columbia,1040.5880010137948,1.040588001013795,5748
New Jersey,1005.9952879939993,1.0059952879939993,73242
California,1001.7194239333484,1.0017194239333485,305720
Utah,808.1037373691026,0.8081037373691027,20078
