state,gulfWarPer100k,gulfWarPct,gulfWar
Alaska,6101.668107432991,6.101668107432991,44750
Virginia,4911.826912772793,4.911826912772792,428100
Hawaii,4420.271778741835,4.420271778741835,63437
Wyoming,3917.0834353496316,3.9170834353496318,22878
South Carolina,3794.0618454635714,3.7940618454635713,203876
Oklahoma,3668.9308662635576,3.6689308662635574,148732
Alabama,3594.6393321833475,3.594639332183348,183631
Montana,3567.7588161142357,3.567758816114236,40416
North Dakota,3486.04332551797,3.48604332551797,27328
South Dakota,3479.2095879771746,3.4792095879771745,31985
New Mexico,3461.1238992589283,3.4611238992589284,73181
Colorado,3460.794438555807,3.460794438555807,203412
Mississippi,3371.2738417996457,3.3712738417996455,99105
North Carolina,3360.8167825528167,3.360816782552817,364161
Washington,3247.4580436407573,3.247458043640757,253720
Georgia,3220.724353574371,3.220724353574371,355221
West Virginia,3136.6538404391686,3.136653840439169,55521
Kansas,3091.9767961460216,3.091976796146022,90921
Maryland,3087.4302395063764,3.0874302395063764,190811
Nevada,3081.8589833496962,3.0818589833496963,98440
Arkansas,3072.563053095903,3.0725630530959025,94258
Maine,3037.997538191703,3.037997538191703,42402
Tennessee,2963.5490912846426,2.9635490912846425,211197
Idaho,2944.889007423936,2.944889007423936,57859
Missouri,2926.8307641060037,2.926830764106004,181351
Louisiana,2915.7918372870918,2.915791837287092,133361
Texas,2896.591421367805,2.8965914213678055,883556
Arizona,2883.6775689565707,2.883677568956571,214296
Florida,2861.1553649360926,2.8611553649360926,646928
Nebraska,2847.4321654243195,2.8474321654243195,56333
Kentucky,2805.759591918437,2.805759591918437,126993
New Hampshire,2728.924848828932,2.7289248488289326,38261
Delaware,2640.494626365213,2.6404946263652134,27247
Grand Total,2640.3346438204844,2.6403346438204847,8842874
Illinois,2623.666610383731,2.623666610383731,329262
Oregon,2453.5132629935856,2.4535132629935856,103866
Ohio,2423.6600660024005,2.4236600660024004,285651
Vermont,2397.0444688816674,2.3970444688816674,15520
Indiana,2394.392817812483,2.394392817812483,164308
Iowa,2335.076601089366,2.3350766010893658,74886
Rhode Island,2254.092751391015,2.254092751391015,24704
District of Columbia,2174.021903701478,2.1740219037014783,14761
Wisconsin,2170.968988936644,2.170968988936644,128325
Pennsylvania,2092.5523329030652,2.092552332903065,271230
Utah,2075.4101986872006,2.0754101986872007,70932
Minnesota,1954.6124332619079,1.954612433261908,112154
Michigan,1908.7677405220406,1.9087677405220407,191588
California,1796.9678733530204,1.7969678733530206,700192
Connecticut,1663.756477428801,1.663756477428801,60181
Massachusetts,1503.2281405473393,1.5032281405473393,105247
New York,1366.1900211003751,1.3661900211003752,267380
New Jersey,1296.9547105584952,1.296954710558495,120498
