state,vietnamWarPer100k,vietnamWarPct,vietnamWar
Maine,2744.815944722516,2.744815944722516,38310
Montana,2468.2824687591587,2.468282468759159,27961
Wyoming,2409.696313887172,2.4096963138871716,14074
New Mexico,2293.4007324164018,2.293400732416402,48491
Oregon,2225.3492381225497,2.2253492381225497,94207
West Virginia,2222.3402338098304,2.22234023380983,39337
New Hampshire,2143.498039305191,2.143498039305191,30053
Arizona,2130.987342262719,2.130987342262719,158361
South Carolina,2094.702668903547,2.094702668903547,112560
South Dakota,2091.0065940186096,2.0910065940186096,19223
Alaska,2087.5204184312647,2.087520418431265,15310
Delaware,2028.123152661621,2.028123152661621,20928
Oklahoma,2013.5062597685542,2.0135062597685542,81624
Nevada,2002.4882786671742,2.0024882786671743,63963
Washington,1998.2388056644925,1.9982388056644924,156120
Arkansas,1988.0484996733744,1.9880484996733745,60988
Missouri,1944.5443271602587,1.9445443271602587,120487
Florida,1943.6350694798568,1.9436350694798568,439470
Hawaii,1917.2372273607136,1.9172372273607137,27515
Idaho,1901.3847223480527,1.9013847223480527,37357
Virginia,1886.0336831312877,1.8860336831312878,164381
Wisconsin,1872.3201242438827,1.8723201242438827,110672
Iowa,1871.1856923159432,1.8711856923159433,60009
Alabama,1869.875665267943,1.8698756652679431,95522
Vermont,1864.96855423622,1.86496855423622,12075
Tennessee,1856.1454315021042,1.8561454315021042,132278
North Carolina,1822.4462555503944,1.8224462555503944,197471
Kansas,1812.146451713389,1.8121464517133892,53287
Ohio,1798.9747949568703,1.7989747949568702,212026
Nebraska,1768.6702092976118,1.7686702092976119,34991
Minnesota,1751.6641497826301,1.75166414978263,100509
Pennsylvania,1751.1460510182205,1.7511460510182204,226978
Michigan,1703.8014653599223,1.7038014653599225,171015
Kentucky,1663.3548041007887,1.6633548041007886,75286
Colorado,1663.1079639513339,1.6631079639513338,97751
Indiana,1637.5654509582134,1.6375654509582134,112373
Grand Total,1606.8935960581866,1.6068935960581867,5381726
Mississippi,1592.0045991243974,1.5920045991243974,46800
North Dakota,1584.0780890032986,1.5840780890032986,12418
Louisiana,1559.355355967282,1.559355355967282,71321
Georgia,1554.7599120047125,1.5547599120047126,171478
Maryland,1512.2681870790727,1.5122681870790726,93462
Rhode Island,1487.9165518512505,1.4879165518512503,16307
Texas,1292.8207343854358,1.2928207343854359,394353
Illinois,1278.4221186676418,1.2784221186676419,160438
Massachusetts,1242.4374042959128,1.2424374042959128,86988
Connecticut,1237.3188365730614,1.2373188365730614,44756
Utah,1124.429227084378,1.124429227084378,38430
California,1120.9594162667179,1.1209594162667178,436784
New Jersey,1079.2241520439322,1.0792241520439323,100269
New York,1024.6885017262084,1.0246885017262084,200544
District of Columbia,1005.4906535173764,1.0054906535173764,6827
