state,wartimeVeteransPer100k,wartimeVeteransPct,wartimeVeterans
Maine,1777.574617294848,1.7775746172948481,24810
Alaska,1709.0124705824605,1.7090124705824605,12534
New Hampshire,1702.359538220354,1.7023595382203538,23868
Montana,1582.7869055059446,1.5827869055059445,17930
Vermont,1569.662560389458,1.5696625603894578,10163
Delaware,1524.6780180057954,1.5246780180057953,15733
West Virginia,1524.1761488663449,1.524176148866345,26979
Wyoming,1498.3126646885491,1.4983126646885492,8751
New Mexico,1479.4943744498955,1.4794943744498956,31282
Arkansas,1465.3496459273497,1.4653496459273496,44953
Oregon,1462.2198264356568,1.462219826435657,61901
Nevada,1457.7781562443647,1.4577781562443648,46564
South Carolina,1452.5765531384718,1.4525765531384718,78055
Nebraska,1386.9940997149686,1.3869940997149686,27440
Florida,1386.4879880460273,1.3864879880460275,313495
Missouri,1379.8555104164582,1.3798555104164583,85498
South Dakota,1379.1745620122742,1.3791745620122742,12679
Hawaii,1354.852285982254,1.354852285982254,19444
Ohio,1349.3965476646529,1.3493965476646528,159039
Alabama,1328.1281198198756,1.3281281198198756,67847
Arizona,1318.3079669034296,1.3183079669034294,97968
Wisconsin,1314.0854565801974,1.3140854565801974,77675
Pennsylvania,1313.0393637924951,1.313039363792495,170192
Tennessee,1310.6313641963104,1.3106313641963103,93402
Idaho,1305.47465651699,1.3054746565169901,25649
Iowa,1301.1832850847707,1.3011832850847707,41729
Indiana,1296.8729120213507,1.2968729120213507,88994
Kentucky,1296.6416962392352,1.2966416962392353,58688
Oklahoma,1293.963428111334,1.293963428111334,52455
Mississippi,1290.8503957900323,1.2908503957900324,37947
Minnesota,1279.6634317517774,1.2796634317517774,73426
Washington,1254.556578368028,1.2545565783680281,98017
Georgia,1242.1088078067482,1.2421088078067484,136995
Kansas,1240.4158955513703,1.2404158955513702,36475
Michigan,1234.071725344195,1.234071725344195,123867
Virginia,1218.2959987828858,1.2182959987828856,106183
North Carolina,1201.5606860824305,1.2015606860824304,130195
Maryland,1185.9546850266486,1.1859546850266487,73295
Grand Total,1148.5496934975079,1.1485496934975077,3846664
Louisiana,1129.008172507936,1.129008172507936,51638
Colorado,1123.4158101677383,1.1234158101677383,66030
Connecticut,1097.7071616089456,1.0977071616089458,39706
Rhode Island,1085.3478496517214,1.0853478496517215,11895
North Dakota,1048.82348589025,1.0488234858902499,8222
Massachusetts,1040.220675896346,1.040220675896346,72830
Illinois,928.8038930685851,0.9288038930685851,116562
Texas,875.9183145456946,0.8759183145456946,267184
New York,855.3428667896773,0.8553428667896773,167401
District of Columbia,846.5739382478217,0.8465739382478218,5748
New Jersey,788.324759836058,0.7883247598360579,73242
California,784.5976792672374,0.7845976792672373,305720
Utah,587.4652620713022,0.5874652620713022,20078
