state,allVeteransPer100k,allVeteransPct,allVeterans
Alaska,9681.676997461162,9.68167699746116,71006
Virginia,7865.153198286585,7.865153198286586,685503
Montana,7816.213105087164,7.816213105087163,88543
Wyoming,7780.747427049073,7.780747427049073,45444
Hawaii,7758.487337106257,7.758487337106256,111345
Maine,7654.317980228155,7.654317980228155,106833
South Carolina,7265.00426626321,7.26500426626321,390389
New Mexico,7255.585703738842,7.255585703738843,153410
West Virginia,7000.792623572727,7.0007926235727265,123919
South Dakota,6972.451317172078,6.9724513171720774,64099
Oklahoma,6968.284760265862,6.968284760265862,282482
Alabama,6714.322180348394,6.714322180348393,342999
New Hampshire,6625.422415969713,6.625422415969713,92892
Arkansas,6620.037213159429,6.620037213159429,203085
Nevada,6533.140315373981,6.533140315373981,208680
Washington,6525.877781304717,6.525877781304717,509859
Arizona,6369.978297330874,6.369978297330873,473375
North Carolina,6358.1151975485,6.3581151975485,688933
Missouri,6319.321204953522,6.319321204953522,391555
Oregon,6277.6878307953175,6.277687830795317,265757
Colorado,6262.902778510313,6.262902778510313,368109
Florida,6249.082846786963,6.249082846786963,1412963
Idaho,6223.972197649952,6.223972197649952,122284
Mississippi,6205.994509625164,6.205994509625165,182437
North Dakota,6187.446264060639,6.187446264060639,48505
Kansas,6164.569437104537,6.164569437104538,181272
Delaware,6143.19355745283,6.143193557452829,63391
Tennessee,6099.0201486313945,6.099020148631395,434646
Nebraska,6086.750819736764,6.086750819736764,120419
Georgia,6005.688340624415,6.005688340624415,662381
Vermont,5960.485833961425,5.960485833961425,38592
Maryland,5826.589947045857,5.826589947045857,360098
Kentucky,5792.136104957985,5.792136104957985,262161
Ohio,5677.7930643601885,5.677793064360189,669181
Iowa,5663.69733246357,5.66369733246357,181635
Louisiana,5627.374829707533,5.6273748297075326,257382
Wisconsin,5535.399948062538,5.535399948062538,327195
Grand Total,5454.212479859995,5.454212479859995,18266970
Indiana,5411.749207506224,5.411749207506224,371365
Pennsylvania,5309.495688175679,5.309495688175679,688200
Minnesota,5153.492165708275,5.1534921657082755,295703
Texas,5043.473819440066,5.043473819440067,1538426
Rhode Island,5018.787147729575,5.018787147729575,55004
Michigan,4978.788536035877,4.978788536035877,499734
Illinois,4950.154541678284,4.950154541678284,621229
Connecticut,4207.619424656141,4.207619424656141,152197
District of Columbia,4111.509752979505,4.111509752979504,27916
Massachusetts,3912.5609038993493,3.9125609038993496,273934
Utah,3797.3405771192256,3.797340577119226,129783
California,3785.260347613317,3.7852603476133173,1474934
New York,3384.582746416983,3.384582746416983,662404
New Jersey,3310.9058695547583,3.310905869554758,307611
