state,koreanWarPer100k,koreanWarPct,koreanWar
Hawaii,296.90524534922776,0.29690524534922774,4261
Montana,285.57253983891417,0.2855725398389142,3235
Maine,259.29232325635047,0.2592923232563505,3619
Florida,237.69692313285296,0.23769692313285298,53745
Arkansas,237.56964428444203,0.23756964428444205,7288
Rhode Island,230.75617585281242,0.2307561758528124,2529
Oregon,227.69158667894376,0.22769158667894376,9639
Idaho,220.7941463593397,0.2207941463593397,4338
Pennsylvania,215.2806853863036,0.2152806853863036,27904
West Virginia,213.55075587363444,0.21355075587363445,3780
Nebraska,213.20485104219162,0.2132048510421916,4218
Iowa,207.20273501373867,0.20720273501373868,6645
New Mexico,197.4582511773005,0.19745825117730048,4175
Vermont,192.4431319733607,0.1924431319733607,1246
Wisconsin,192.0671025240422,0.19206710252404222,11353
South Dakota,186.9864399478744,0.1869864399478744,1719
Minnesota,186.14775576145692,0.18614775576145692,10681
Arizona,185.12129165329986,0.18512129165329988,13757
South Carolina,183.08177733362737,0.18308177733362738,9838
Connecticut,182.9880547697983,0.18298805476979832,6619
Delaware,180.25177102210506,0.18025177102210507,1860
Missouri,179.62749808106832,0.17962749808106834,11130
Michigan,177.85728596675926,0.17785728596675926,17852
Maryland,168.66623421403622,0.16866623421403623,10424
Ohio,168.18351704807466,0.16818351704807466,19822
Grand Total,164.0566030961388,0.1640566030961388,549450
New Jersey,162.43954664599255,0.16243954664599256,15092
Washington,160.52979183092535,0.16052979183092533,12542
New York,158.71778227781041,0.15871778227781042,31063
Virginia,157.6006878622917,0.15760068786229167,13736
Oklahoma,156.2722012598475,0.15627220125984748,6335
Kansas,155.54934355728494,0.15554934355728492,4574
Massachusetts,155.3689484058829,0.1553689484058829,10878
North Carolina,155.00912695142287,0.15500912695142288,16796
Alaska,151.75768946531662,0.15175768946531662,1113
Illinois,150.33838687157905,0.15033838687157905,18867
Nevada,145.82790679035844,0.14582790679035845,4658
Colorado,144.78674154971154,0.14478674154971152,8510
North Dakota,143.50844339899427,0.1435084433989943,1125
New Hampshire,142.36256235494497,0.14236256235494496,1996
Indiana,140.97521800227594,0.14097521800227594,9674
Mississippi,139.94672907687544,0.13994672907687544,4114
Alabama,138.67171136238886,0.13867171136238887,7084
Kentucky,137.13629717415714,0.13713629717415715,6207
California,136.51414481637497,0.13651414481637497,53193
Tennessee,132.2530631844096,0.1322530631844096,9425
Louisiana,131.0085009037444,0.13100850090374438,5992
Georgia,126.79039065929098,0.12679039065929099,13984
Wyoming,108.55104895583821,0.10855104895583821,634
District of Columbia,108.2518866757392,0.10825188667573919,735
Utah,107.79071747537988,0.10779071747537988,3684
Texas,96.19614611546469,0.09619614611546468,29343
